VEHICLE
NUMBER     CAPACITY
  50          100

CUSTOMER
             X          Y  DEMAND  START  END  SERVICE TIME                                                                         NAME                                                                                       ADDRESS
0   106.609688  10.817937       0      0  420             0                                                                          NaN                                                                                           NaN
1   106.569330  10.830792      24    270  380            15                      Công ty TNHH Xây Dựng Sản Xuất Thương Mại Mộc Kim Decor                           Nữ Dân Công, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh
2   106.650967  10.863150      15    300  370            15                                                  Xưởng Anh Quang -0707365304                    Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, Thành phố Hồ Chí Minh
3   106.564781  10.819086      76     30  380            15                                    Công ty TNHH Trang Trí Nội Thất Hồng Công                                Khu phố Bình Chánh, Phường Khánh Bình, TX Tân Uyên, Bình Dương
4   106.585539  10.805349      72     70  150            15                                           Công ty Cổ Phần Xây Dựng Coteccons                                Nhi Bình 12, Xã Nhị Bình, Huyện Hóc Môn, Thành phố Hồ Chí Minh
5   106.639460  10.871600      20    280  350            15                                                       Công ty TNHH Len Decor                Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Thành phố Hồ Chí Minh
6   106.635094  10.900067      39     60  300            15                                        Công Ty TNHH Một Thành Viên N&T House                      Đường Nguyễn Văn Ràng, Xã Phước Lộc, Huyện Nhà Bè, Thành phố Hồ Chí Minh
7   106.571631  10.792680      66    100  210            15                                                         Ngọc Vy - 0933117846                            421 Ấp An Hòa, Xã An Sơn, Thành Phố Thuận An, Bình Dương, Việt Nam
8   106.589532  10.815900      70    160  330            15                                        Công ty TNHH Xây Dựng Nội Thất Hoa Gỗ                              Đường 1b, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh
9   106.531917  10.872473      54     30  280            15                                             Công ty Cổ Phần Chiến Công Group  Kcn Vình Lộc, Đường Phan Văn Đối, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh
10  106.601638  10.824997      24     80  280            15                         Công ty Cổ Phần Thương Mại và Xuất Nhập Khẩu Ái Linh                      Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh
11  106.585488  10.809494      16    100  200            15                                    Công ty Cổ Phần Xây Dựng Quốc Tế Việt Hàn                              Lê Ngung, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh
12  106.566181  10.831255      29    290  360            15                                        Công Ty Cổ Phần Sản Xuất Nội Thất DLT                                          Võ Văn Kiệt, Phường 7, Quận 6, Thành phố Hồ Chí Minh
