                                                                            NAME                                                                                                ADDRESS           X          Y  DEMAND  START  END  SERVICE TIME          CLOSEST
104                                  Công Ty Cổ Phần Và Dịch Vụ Lâu Đài Ven Sông                                                                          Lê Văn Sỹ , Phường 14, Quận 3  106.751817  11.552345      18    170  230            15  DISTANCE_FROM_1
2                                                 Công ty TNHH TMSX TTNT Gia Đạt                                  Nguyễn Bỉnh Khiêm, Phường Bửu Long, Thành phố Biên Hòa, Tỉnh Đồng Nai  106.800259  10.954291      26    200  360            15  DISTANCE_FROM_2
3                                                      Lê Đức Tuyến - 0913189296                                    Đường Hà Duy Phiên, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh  106.643812  10.955966      69     20   80            15  DISTANCE_FROM_2
13                                               Hiệp Phát (CH Nguyễn Thị Hương)                                       Nơ Trang Long, Phường 12, Quận Bình Thạnh, Thành phố Hồ Chí Minh  106.704796  10.892582      18    240  380            15  DISTANCE_FROM_2
16                                          Công ty TNHH Đầu Tư Xây Dựng Unicons                           Đường Bộ Đội An Điền, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.720747  10.894220      79    270  360            15  DISTANCE_FROM_2
17                          Công Ty TNHH Xây Dựng Và Trang Trí Nội Thất Phát Huy                                   Đường Liên Phường, Phước Long B, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.786118  10.890648      27    120  210            15  DISTANCE_FROM_2
18            Công ty TNHH MTV Sản Xuất Thương Mại Trang Trí Nội Thất Lan Anh                               Đường Tỉnh Lộ 43, Phường Bình Chiểu, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.683907  10.916813      29     30  150            15  DISTANCE_FROM_2
21                                                 Công ty TNHH Hyphen Furniture                                  Nguyễn Văn Cự, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh  106.829516  10.809994      48    290  380            15  DISTANCE_FROM_2
23                                            Công ty Cổ Phần Nội Thất Bim Decor                             Nguyễn Duy Trinh, Phường Trường Thạnh, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.720584  11.005608      61     40  250            15  DISTANCE_FROM_2
25                                 Công ty TNHH Trang Trí Nội Thất Đoàn Gia Phát                           Đường Tô Vĩnh Diện, Phường Tân Phước Khánh, Thị xã Tân Uyên, Tỉnh Bình Dương  106.671205  10.934591      21     70  290            15  DISTANCE_FROM_2
